tract,Name,Incarceration_Rate_rP_gP_p50
25025120105,"Jamaica Hills / Pond, Boston, MA",0.0219
25025110601,"Brook Farm, Boston, MA",0.0158
25025130100,"West Roxbury, Boston, MA",0.0119
25025000602,"Brighton, Boston, MA",0.0112
25021404201,"Wellesley, MA",0.0097
25017373700,"Newton Centre, Newton, MA",0.0093
25025110501,"Roslindale, Boston, MA",0.009
25021400700,"Emerson Gardens, Brookline, MA",0.0087
25021404100,"Wellesley, MA",0.0086
25025130300,"West Roxbury, Boston, MA",0.0074
25017373400,"Newtonville, Newton, MA",0.007
25017374800,"Auburndale, Newton, MA",0.0064
25021457200,"Needham, MA",0.0062
25017374400,"West Newton, Newton, MA",0.0059
25017374200,"Newton Highlands, Newton, MA",0.0059
25021401200,"Chestnut Hill, Brookline, MA",0.0044
25021403400,"Needham, MA",0.0043
25025000504,"Brighton, Boston, MA",0.0039
25017373900,"Oak Hill, Newton, MA",0.0037
25021403500,"Needham Heights, Needham, MA",0.0035
25021400300,"North Brookline, Brookline, MA",0.0033
25021400500,"Aspinwall Hill, Brookline, MA",0.0032
25017373500,"Newton Corner, Newton, MA",0.0026
25025000502,"Brighton, Boston, MA",0.0022
25017373800,"Newton Centre, Newton, MA",0.0021
25025000401,"Brighton, Boston, MA",0.0019
25021400400,"Corey Hill, Brookline, MA",0.0019
25021401100,"Brookline, MA",0.0013
25025110607,"Roslindale, Boston, MA",0.0007
25025110502,"Roslindale, Boston, MA",0.0005
25017367200,"Weston, MA",0.0002
25017374700,"Auburndale, Newton, MA",0
25025000503,"Brighton, Boston, MA",0
25017374100,"Newton Upper Falls, Newton, MA",0
25025000402,"Brighton, Boston, MA",0
25017374300,"Waban, Newton, MA",0
25025000701,"Allston, Boston, MA",0
25025130200,"Brook Farm, Boston, MA",0
25017374500,"West Newton, Newton, MA",0
25025000302,"Brighton, Boston, MA",0
25021400600,"Fisher Hill, Brookline, MA",0
25017373600,"Chestnut Hill, Newton, MA",0
25017374000,"Oak Hill, Newton, MA",0
25021403100,"Needham, MA",0
25021404202,"Babson Park, Wellesley, MA",0
25025981000,"Roslindale, Boston, MA",
